                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1204,                 3.6482,                 4.0709,                0.00393,                  0.617,                0.03302,                0.01086,                 2.7043,                 3.9094,                 4.0963,             0.00054889,             0.00054889,             0.00054889
                      2,                 2.8089,                 3.1544,                 3.4257,                0.01474,                0.07116,                0.01851,                0.00644,                  2.433,                 4.5842,                 3.6276,              0.0010499,              0.0010499,              0.0010499
                      3,                 2.4081,                 2.8274,                 2.9685,                0.22468,                0.20695,                0.15728,                0.06395,                 1.9889,                  4.388,                 2.8407,              0.0014959,              0.0014959,              0.0014959
                      4,                 2.2001,                 2.5935,                 2.7193,                0.28969,                 0.3049,                0.24159,                  0.075,                 2.2044,                 2.9288,                 2.8693,              0.0014195,              0.0014195,              0.0014195
                      5,                 2.0467,                  2.339,                 2.5551,                0.46629,                0.47879,                0.42318,                0.18811,                 1.7931,                 2.2942,                 2.4712,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.9439,                 2.1997,                 2.4395,                0.46818,                0.55541,                0.53048,                0.23608,                 1.8077,                 2.3379,                 2.5207,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.8451,                 2.1042,                 2.3293,                0.28343,                0.32721,                  0.196,                0.07564,                  2.026,                 3.5972,                 2.8016,              0.0012544,              0.0012544,              0.0012544
                      8,                  1.835,                 2.1029,                 2.3009,                 0.4978,                 0.5539,                0.52969,                0.24473,                 1.6989,                 2.0565,                  2.358,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.7392,                 1.9608,                 2.2227,                0.62079,                0.59038,                0.64986,                0.32778,                 1.6373,                 2.0345,                 2.2814,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.7427,                 1.9322,                 2.2154,                0.52141,                0.56991,                0.52769,                0.26725,                 1.6633,                 1.9355,                 2.3028,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.5383,                 1.6968,                 2.1732,                0.47164,                0.60212,                0.53641,                0.27726,                  1.581,                 1.8641,                 2.1915,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.4513,                 1.4997,                 2.0749,                0.34923,                0.47702,                0.31143,                0.15501,                 1.7389,                 2.3543,                 2.3977,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.4047,                 1.3894,                 2.0027,                0.76249,                0.67611,                0.77011,                0.45768,                 1.4043,                 1.3242,                 2.0349,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.4225,                 1.3541,                 2.0315,                 0.6967,                0.64773,                0.71702,                0.40435,                 1.5251,                 1.4511,                 2.1517,              0.0006768,              0.0006768,              0.0006768
                     15,                  1.357,                 1.2854,                 1.9439,                0.70284,                 0.6889,                0.75899,                0.44919,                 1.3834,                 1.3792,                 2.0033,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.3333,                 1.2523,                 1.9199,                0.72186,                0.71397,                0.76837,                0.44936,                 1.3861,                 1.4609,                 1.9835,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.2944,                 1.1951,                 1.8781,                0.63802,                0.70164,                0.70963,                0.41267,                 1.3837,                 1.4022,                 1.9974,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.2797,                 1.1772,                 1.8637,                0.79107,                0.73509,                0.81509,                0.50174,                 1.3301,                  1.172,                 1.9419,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.2585,                 1.1362,                 1.8294,                0.81872,                0.73037,                0.82778,                0.52974,                 1.2625,                 1.1228,                 1.8544,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.2308,                 1.1189,                 1.8239,                0.80477,                0.71083,                0.81628,                0.52085,                 1.2624,                 1.1864,                 1.8618,              0.0001817,              0.0001817,              0.0001817
